BASE_CCY_AMT,FNCT_CCY_AMT,TXN_CCY_AMT,IB_FLAG,TXN_CCY,OPER_DPST_FLAG,LV_DMC_CTRY,FRS_ACCOUNT_CLASS,ACCT_TYP,ACTG_UNIT_NM,ROW_SRC_IND,REC_TYP,ARRG_MAT_TYP_CD,Outliers,Outliers_2
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
249469.57,249469.57,249469.57,1,30,0,35,0,0,19,3,3,1,0,0
575724.75,575724.75,575724.75,1,30,0,35,0,0,19,3,3,1,0,0
-856.68,-856.68,-856.68,1,30,0,35,0,2,11,3,3,1,0,0
-1088.46,-1088.46,-1088.46,1,30,0,35,0,2,11,3,3,1,0,0
4165.34,4165.34,4165.34,0,30,0,12,0,0,19,1,1,0,0,0
-25.37,-25.37,-25.37,0,30,0,35,0,0,19,1,1,0,0,0
11418302.73,11418302.73,11418302.73,0,30,0,35,0,0,19,1,1,0,0,0
30087561,30087561,30087561,0,30,0,35,0,0,19,1,1,0,0,0
-6985830.24,-6985830.24,-6985830.24,0,30,0,35,0,0,19,1,1,0,0,0
487680.45,487680.45,487680.45,0,30,0,35,0,0,19,1,1,0,0,0
-4602998.1,-4602998.1,-4602998.1,0,30,0,35,0,0,19,1,1,0,0,0
295589.979,5568620,5568620,0,17,0,24,0,0,19,1,1,0,0,0
0,0,0,0,29,0,30,2,3,1,1,0,0,0,0
0,0,0,0,29,0,30,2,3,0,1,0,0,0,0
-2395579.55,-2395579.55,-2395579.55,1,30,0,0,0,0,19,1,2,0,0,0
70085.7,70085.7,70085.7,0,30,0,19,0,0,19,1,2,0,0,0
-0.04,-0.04,-0.04,0,30,0,35,0,0,19,1,2,0,0,0
-744803.29,-744803.29,-744803.29,0,30,0,35,0,0,19,1,2,0,0,0
3478.41,3478.41,3478.41,0,30,0,35,0,0,19,1,2,0,0,0
1174779.9,1174779.9,1174779.9,1,30,0,11,0,0,19,1,2,0,0,0
62600.45,62600.45,62600.45,0,30,0,24,0,0,19,1,2,0,0,0
0,0,0,1,30,0,12,0,3,6,3,3,1,0,0
-5836.587,-4740.95,-5859.58,1,30,0,12,0,2,11,3,3,1,0,0
0,0,0,1,30,0,12,1,0,3,3,3,1,0,0
0,0,0,1,30,0,12,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
-24.584,-20.11,-22.82,1,10,0,12,0,2,11,3,3,1,0,0
110.342,89.629,101.6,1,10,0,12,1,0,3,3,3,1,0,0
0,0,0,0,12,1,23,3,1,12,3,3,0,1,1
-0.004,-0.004,-5,0,15,1,23,3,1,12,3,3,0,1,1
0,0,0,1,18,1,23,3,1,12,3,3,0,1,1
34374455.5,34374455.5,34374455.5,0,30,0,35,0,0,19,1,1,0,0,0
-5,-5,-5,0,30,0,35,0,0,19,1,1,0,0,0
-6562150254,-6562150254,-6562150254,0,30,0,35,0,0,19,1,1,0,0,1
850,850,850,0,30,0,35,0,0,19,1,1,0,0,0
-10,-10,-10,0,30,0,35,0,0,19,1,1,0,0,0
-6544.459,-6544.459,-68519.17,0,25,0,35,0,0,19,1,1,0,0,0
209238.798,3941850,3941850,0,17,0,24,0,0,19,1,1,0,0,0
-2.89572,-22.7,0,0,5,0,13,2,3,0,1,0,0,0,0
0,0,0,0,5,0,13,2,3,1,1,0,0,0,0
0,0,0,0,13,0,16,2,3,1,1,0,0,0,0
0,0,0,0,13,0,16,2,3,0,1,0,0,0,0
304988.9991,1326092.17,304988.9995,0,30,0,27,0,0,19,1,1,0,0,0
1023.59,1023.59,1023.59,1,30,0,8,0,0,19,1,2,0,0,0
2.17,2.17,2.17,0,30,0,5,0,0,19,1,2,0,0,0
-5763.43,-5763.43,-4652.62,1,11,0,22,2,3,1,1,0,0,0,0
-3529.05,-3529.05,-452.08,1,11,0,22,2,3,0,1,0,0,0,0
0.01,0.01,0.01,0,30,0,35,0,0,19,1,2,0,0,0
18.52,18.52,18.52,0,30,0,12,0,0,19,1,2,0,0,0
-7377401.284,-7377401.284,-5992284.68,1,11,0,22,0,0,19,3,3,0,0,0
7847631.085,7847631.085,6374228.23,1,11,0,22,0,0,19,3,3,0,0,0
10735.406,10735.406,8719.82,1,11,0,22,0,0,19,3,3,0,0,0
-56723800,-56723800,-56723800,1,30,0,21,0,0,19,1,2,0,0,0
0,0,0,1,2,0,12,0,3,6,3,3,1,0,0
-150699.848,-122410.73,-201369.86,1,2,0,12,0,2,11,3,3,1,0,0
0,0,0,1,2,0,12,1,0,3,3,3,1,0,0
0,0,0,1,2,0,12,0,0,19,3,3,1,0,0
0,0,0,1,18,0,12,3,1,12,3,3,0,0,0
2500000,2500000,2500000,1,30,0,35,0,0,19,3,3,1,0,0
7987.78,7987.78,7987.78,1,30,0,35,1,0,3,3,3,1,0,0
-7987.78,-7987.78,-7987.78,1,30,0,35,0,2,11,3,3,1,0,0
5000000,5000000,5000000,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
186161361.9,186161361.9,186161361.9,1,30,0,35,0,0,19,3,3,1,0,0
22235.94,22235.94,22235.94,1,30,0,35,1,0,3,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
634.86,634.86,634.86,1,30,0,35,1,0,3,3,3,1,0,0
-634.86,-634.86,-634.86,1,30,0,35,0,2,11,3,3,1,0,0
-187545.35,-187545.35,-187545.35,1,30,0,35,0,2,11,3,3,1,0,0
-913.75,-913.75,-913.75,1,30,0,35,0,2,11,3,3,1,0,0
-22235.94,-22235.94,-22235.94,1,30,0,35,0,2,11,3,3,1,0,0
45600,45600,45600,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
459.7,459.7,459.7,1,30,0,35,1,0,3,3,3,1,0,0
-190.01,-190.01,-190.01,1,30,0,35,0,2,11,3,3,1,0,0
-1285.03,-39054,-39054,1,29,0,33,2,2,24,3,3,1,0,0
-186615.52,-186615.52,-174350,1,10,0,15,0,2,11,3,3,1,0,0
0,0,0,1,10,0,15,0,3,6,3,3,1,0,0
0,0,0,1,10,0,15,1,0,3,3,3,1,0,0
0,0,0,1,10,0,15,0,0,19,3,3,1,0,0
3501,3501,3501,0,30,0,35,0,0,19,1,1,0,0,0
-850598071.9,-850598071.9,-850598071.9,0,30,0,35,0,0,19,1,1,0,0,0
695,695,695,0,30,0,35,0,0,19,1,1,0,0,0
-29866.918,-29866.918,-27500.5,0,10,0,35,0,0,19,1,1,0,0,0
-2317256606,-2317256606,-2317256606,0,30,0,35,0,0,19,1,1,0,0,1
64278.354,1210940,1210940,0,17,0,24,0,0,19,1,1,0,0,0
0,0,0,0,1,0,13,2,3,1,1,0,0,0,0
0,0,0,0,1,0,13,2,3,0,1,0,0,0,0
-31450502.45,-2.30E+11,-2.30E+11,0,23,1,28,2,3,1,1,0,0,0,1
-33013209.9,-2.41E+11,-2.41E+11,0,23,1,28,2,3,0,1,0,0,0,1
-322464511.9,-322464511.9,-322464511.9,1,30,0,26,0,0,19,1,2,0,0,0
458743.32,458743.32,458743.32,0,30,0,3,0,0,19,1,2,0,0,0
168238.27,168238.27,168238.27,0,30,0,35,0,0,19,1,2,0,0,0
16.24,16.24,16.24,0,30,0,35,0,0,19,1,2,0,0,0
151022.87,151022.87,151022.87,0,30,0,24,0,0,19,1,2,0,0,0
-3944114.86,-3944114.86,-3944114.86,0,30,0,35,0,0,19,1,2,0,0,0
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
-28142.89,-28142.89,-28142.89,1,30,0,35,0,2,11,3,3,1,0,0
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
-146.17,-146.17,-146.17,1,30,0,35,0,2,11,3,3,1,0,0
35340.07,35340.07,35340.07,1,30,0,35,0,0,19,3,3,1,0,0
-86.59,-86.59,-86.59,1,30,0,35,0,2,11,3,3,1,0,0
-6505.929,-51000.952,-33288.57,0,1,0,13,0,0,19,3,3,0,0,0
5541.85,5541.85,5541.85,0,30,0,12,0,0,19,1,2,0,0,0
92332.46,92332.46,92332.46,0,30,0,35,0,0,19,1,2,0,0,0
2105476637,2105476637,2105476637,1,30,0,12,0,0,19,1,2,0,0,1
-193.12,-193.12,-193.12,1,30,0,12,0,0,19,1,2,0,0,0
-0.45,-0.45,-0.45,0,30,0,35,0,0,19,1,2,0,0,0
0,0,0,1,30,0,12,0,3,6,3,3,1,0,0
-92020.266,-74746.38,-90629.99,1,30,0,12,2,2,11,3,3,1,0,0
0,0,0,0,1,0,12,3,1,12,3,3,0,0,0
0,0,0,0,29,1,12,3,1,12,3,3,0,1,1
1906243.01,1906243.01,1906243.01,1,30,0,35,0,0,19,3,3,1,0,0
483.76,483.76,483.76,1,30,0,35,1,0,3,3,3,1,0,0
-483.76,-483.76,-483.76,1,30,0,35,0,2,11,3,3,1,0,0
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
-20640.46,-20640.46,-20640.46,1,30,0,35,0,2,11,3,3,1,0,0
-1821.7,-1821.7,-1821.7,1,30,0,35,0,2,11,3,3,1,0,0
1821.7,1821.7,1821.7,1,30,0,35,1,0,3,3,3,1,0,0
3000000,3000000,3000000,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,14,0,10,0,3,6,3,3,1,0,0
-132.45,-123.52,-1373.8,1,25,0,8,0,2,11,3,3,1,0,0
0,0,0,1,25,0,8,0,0,19,3,3,1,0,0
0,0,0,1,25,0,8,0,3,6,3,3,1,0,0
0,0,0,1,25,0,8,1,0,3,3,3,1,0,0
0,0,0,1,30,0,12,2,3,13,3,3,1,0,0
-13958.976,-11327.1,-13958.96,1,30,0,12,0,2,11,3,3,1,0,0
0,0,0,1,30,0,12,2,3,23,3,3,1,0,0
13958.96,11338.608,13958.96,1,30,0,12,1,0,3,3,3,1,0,0
0,0,0,1,10,1,9,3,1,12,3,3,0,1,1
-75657800.59,-100953986.3,-100953986.3,1,2,0,4,0,0,19,1,3,0,0,0
879695.981,812052.049,1158635.86,1,26,0,8,0,0,19,1,1,0,0,0
-2479846040,-2289159097,-3.23E+11,0,14,0,8,0,0,19,1,1,0,0,1
103095.5,103095.5,103095.5,0,30,0,35,0,0,19,1,1,0,0,0
-672959017.4,-672959017.4,-672959017.4,0,30,0,35,0,0,19,1,1,0,0,0
16184.21,16184.21,16184.21,0,30,0,35,0,0,19,1,1,0,0,0
-452962.72,-452962.72,-452962.72,0,30,0,35,0,0,19,1,1,0,0,0
-90739390.62,-90739390.62,-90739390.62,0,30,0,35,0,0,19,1,1,0,0,0
-351512728.1,-351512728.1,-351512728.1,0,30,0,35,0,0,19,1,1,0,0,0
1321885458,1321885458,1321885458,0,30,0,35,0,0,19,1,1,0,0,1
0,0,0,0,29,0,30,2,3,0,1,0,0,0,0
0,0,0,0,29,0,30,2,3,1,1,0,0,0,0
0,0,0,0,29,0,13,2,3,1,1,0,0,0,0
0,0,0,0,29,0,13,2,3,0,1,0,0,0,0
0,0,0,1,30,0,12,2,3,8,1,3,0,0,0
-0.46,-0.46,-0.46,1,30,0,26,0,0,19,1,2,0,0,0
